topic_id,label,size_docs,top_terms
0,"fund, amendment, sec",5,"fund, amendment, sec, plan, governmental, entity, taxpayer, institute, use, right, january, order"
1,"duty, rate, valorem",8,"duty, rate, valorem, rate duty, tariff, product, trade, htsus, import, impose, additional valorem, consumption"
2,"trump, donald, donald trump",10,"trump, donald, donald trump, gallery, signer, vance, amp, unitednbspstate, political, proclamation, august, september"
3,"energy, interior, water",15,"energy, interior, water, project, national, environmental, resource, land, council, production, chair, beautiful"
4,"district columbia, columbia, district",6,"district columbia, columbia, district, crime, capital, violent, safety, guard, emergency, condition, penalty, nation"
5,"day, family, honor",6,"day, family, honor, anniversary, americans, th anniversary, th, trump, army, nation, proclaim, constitution proclaim"
6,"sex, education, gender",7,"sex, education, gender, school, woman, educational, race, ideology, institution, student, discrimination, biological"
7,"doge, hire, team",6,"doge, hire, team, efficiency, plan, immigration, service, lead, freeze, administrator, position, head"
8,"advisory, president, board",10,"advisory, president, board, intelligence, announce, community, faith, robert, committee, trump, commission, council"
9,"border, facility, permit",4,"border, facility, permit, operation, condition, nbspnbspnbspnbsp, article, construction, maintenance, change, possession, canada"
10,"alien, illegal, immigration",14,"alien, illegal, immigration, illegal alien, jurisdiction, border, criminal, sec, southern border, nbspthe, invasion, southern"
11,"ai, technology, artificial intelligence",8,"ai, technology, artificial intelligence, model, artificial, intelligence, export, science, research, innovation, education, nbspthe"
12,"nuclear, energy, technology",5,"nuclear, energy, technology, advanced, fuel, defense, license, deployment, development, power, national, research"
13,"task force, task, force",6,"task force, task, force, chair, deputy, local, deputy chief, chief staff, state local, state, bureau, staff"
14,"clearance, interest, contract",7,"clearance, interest, contract, head, head department, security, review, engage, national interest, undermine, discrimination, election"
15,"regulatory, omb, review",12,"regulatory, omb, review, propose, nbspthe, cost, consider, acquisition, sec, guidance, transportation, aircraft"
16,"application, foreign adversary, adversary",5,"application, foreign adversary, adversary, period, foreign, control, national security, national, protect, security, delay, extend"
17,"import, product, domestic",5,"import, product, domestic, national security, security, production, national, supply, foreign, trade, industry, supply chain"
18,"border, drug, illicit drug",10,"border, drug, illicit drug, duty address, southern border, illicit, southern, february, duty, situation, northern, amendment duty"
19,"damage, court, cost",2,"damage, court, cost, cover, request, civil, procedure, potential, party, activist, justice, seek"
20,"health, healthcare, drug",12,"health, healthcare, drug, child, disease, transparency, healthy, program, research, payment, provider, care"
21,"foreign, service, president",8,"foreign, service, president, official, member, subordinate, reform, performance, relation, procedure, faithfully, term"
22,"york, new york, representative",4,"york, new york, representative, vice, extraordinary, administrator, new, texas, deputy, assistant, announce, urban"
23,"digital, asset, treasury",4,"digital, asset, treasury, working, group, nbspthe, strategic, reserve, technology, company, nbspwithin, tax"
24,"design, building, experience",4,"design, building, experience, chief, improve, use, administrator, beautiful, cost, new, initiative, policy"
